Entity,Code,Year,$40 - total number of people above poverty line,$30-$40 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$6.85-$10 - total number of people between poverty lines,$3.65-$6.85 - total number of people between poverty lines,$2.15-$3.65 - total number of people between poverty lines,$1-$2.15 - total number of people between poverty lines,$1 - total number of people below poverty line
Portugal,PRT,2013,1881829,1498183,2933345,2972313,604972,373448,103776,45305,44124
Portugal,PRT,2014,1867690,1631190,2932802,2858574,622357,333489,98204,35621,21135
Portugal,PRT,2015,2177214,1617535,2844979,2800950,542121,249407,75903,21884,28083
Portugal,PRT,2016,2196380,1688252,3019804,2556798,496361,290780,38394,20290,18393
Portugal,PRT,2017,2246818,1704999,3070057,2633812,404544,167403,30385,23741,18541
Portugal,PRT,2018,2457199,1905906,3079984,2288896,334329,148224,39435,13848,16001
Portugal,PRT,2019,2867922,2099564,3008204,1870341,282447,132088,10399,12937,2361
Romania,ROU,1989,249536,1093572,4876100,13446057,2623234,727891,79150,28267,37651
Romania,ROU,1992,228,103280,1462000,10384703,6195939,4099202,422856,83458,42618
Romania,ROU,1994,227,0,17322,1068002,2409210,10450284,6760553,1860053,164560
Romania,ROU,1995,113425,113458,624866,6407529,6521952,6861809,1644577,343568,53086
Romania,ROU,1997,113063,56300,507487,5018713,6652916,7894408,1803871,451093,56127
Romania,ROU,1998,64021,124322,583332,5659678,6062080,7606769,2033410,347394,26338
Romania,ROU,1999,18049,29027,131905,1776151,4197986,10574665,4546750,1159643,37864
Romania,ROU,2000,14379,21244,124227,1577508,3886792,10540237,4883219,1340277,55088
Romania,ROU,2001,19789,33977,151417,2259929,4641054,10127782,3915004,946436,36582
Romania,ROU,2002,28127,50063,175974,2459908,4710078,9616031,3693517,948925,47873
Romania,ROU,2003,29489,34214,276743,2894772,5058291,9353165,3242534,660631,24487
Romania,ROU,2004,19103,39916,447964,3975248,5569862,8345655,2573752,480248,0
Romania,ROU,2005,17523,54178,587389,4347891,5905587,7958045,2071335,377737,0
Romania,ROU,2006,26717,53523,609889,4645595,5748897,7719698,1979844,409597,0
Romania,ROU,2007,42178,93776,783474,5493059,5968332,6706040,1616318,179805,0
Romania,ROU,2008,61838,320880,1123155,7574675,5619008,4855535,982784,0,0
Romania,ROU,2009,41079,206848,1210843,8028240,5695927,4419146,765404,0,0
Romania,ROU,2010,30298,103998,1116881,7545354,5755258,4760573,934509,0,0
Romania,ROU,2011,17323,83341,950531,7511466,5877338,4855661,851868,0,0
Romania,ROU,2012,27408,104828,1001988,7605527,5904453,4625998,787833,0,0
Romania,ROU,2013,27331,114856,1042238,7740760,5700091,4582535,775882,0,0
Romania,ROU,2014,123398,309652,1865128,7808369,3882002,3162315,1359972,1069350,328793
Romania,ROU,2015,227805,519734,2001949,8135597,3509182,3000932,1376903,818467,225047
Romania,ROU,2016,70463,387366,1460764,8947712,4834730,3495836,505396,0,0
Romania,ROU,2017,987632,1431180,4363142,7126559,2491460,1874404,674544,449220,190574
Romania,ROU,2018,194725,675189,2559348,9779831,3849233,2161908,253736,0,0
Romania,ROU,2019,1803203,2272119,5143649,6295790,1740202,1201248,496220,338569,80648
Russia,RUS,1993,6197350,5149092,13935319,45766957,27033384,31027068,14110649,5238958,0
Russia,RUS,1996,5829875,4938418,13792974,46727797,27109804,29826977,13035202,6899082,0
Russia,RUS,1997,3723885,3923942,13040540,50606885,32306998,33305590,8756126,2056487,194908
Russia,RUS,1998,2432081,3744366,10617369,45987597,31795027,38146219,11574664,3085717,287744
Russia,RUS,1999,1115230,1299386,6373915,36875874,30755154,46351443,17987469,5917703,538602
Russia,RUS,2000,1421248,1807135,8585468,40189636,32094770,43644772,14491987,4044935,316918
Russia,RUS,2001,1920331,2976274,11011812,44981477,32817536,39432056,10271275,2325060,240661
Russia,RUS,2002,2649258,4062066,13772658,47450438,32822680,35082372,7997400,1380750,88875
Russia,RUS,2003,5231565,5885275,14468117,46934028,30392400,32386225,7770017,1476931,104060
Russia,RUS,2004,6050837,6758121,16759217,48303867,29279933,28949317,6520633,1332158,113233
Russia,RUS,2005,8096682,7792002,17951568,49724055,28315546,25320185,5206855,1034965,76956
Russia,RUS,2006,10623308,7887803,19971915,52408130,25771618,21815990,3940070,588945,41858
Russia,RUS,2007,14930930,8897869,22156004,53991339,23197249,16788567,2555547,269831,17778
Russia,RUS,2008,17092475,11226108,24441583,56079816,20433753,12214640,1122489,110817,20685
Russia,RUS,2009,15515832,10794270,23875664,58449954,21235253,11706408,1113471,89107,5390
Russia,RUS,2010,17826336,12680605,26911245,56629133,18544849,9194210,944054,106742,12294
Russia,RUS,2011,19049067,12531287,28399679,56921373,17139494,8171814,693490,49080,5624
Russia,RUS,2012,20684979,13122532,29520783,55890324,16026440,7236487,674049,43301,2826
Russia,RUS,2013,20888384,14238105,29260610,56372422,15602684,6539865,593209,11716,0
Russia,RUS,2014,19311989,14399673,30745019,57409041,15131758,6366114,425417,30345,311
Russia,RUS,2015,16720010,13297779,29610743,60186747,16303445,7388622,537159,52362,3
Russia,RUS,2016,16046144,13700744,29423474,59762052,17359551,7532368,478813,32760,6491
Russia,RUS,2017,15814493,13550245,29237500,60837010,17393921,7096114,519148,46463,1845
Russia,RUS,2018,15611171,13105457,30378746,61230519,17049104,6600503,460183,40110,2066
Russia,RUS,2019,16367763,14213708,31203729,60378000,16242323,5616445,340969,43324,0
Russia,RUS,2020,14211415,13195310,30817125,63981803,16019862,5465032,398886,14647,0
Rwanda,RWA,2000,10198,9500,26159,135569,135140,517009,1132900,3295992,2671221
Rwanda,RWA,2005,30534,18589,46509,220017,223857,888514,1573080,3656190,2182930
Rwanda,RWA,2010,21892,21411,56666,250902,309553,1119777,2315331,4340062,1603744
Rwanda,RWA,2013,30331,17080,51144,305787,365889,1424819,2805590,4592740,1218158
Rwanda,RWA,2016,18962,19489,60987,270108,542067,1650787,3038009,4753754,1314666
Rwanda - rural,,1984,56,0,0,32482,82795,539574,1667473,3043165,242868
Saint Lucia,LCA,1995,145,297,892,5344,8566,34210,41425,39343,16649
Saint Lucia,LCA,2016,20180,11206,22887,54258,25872,24544,11859,4130,5092
Samoa,WSM,2002,3093,3544,8749,40745,37924,58110,20402,3843,0
Samoa,WSM,2008,5035,3111,10103,43070,40843,61119,18060,1929,0
Samoa,WSM,2013,3632,2824,9976,45657,46111,62473,17845,2119,75
Sao Tome and Principe,STP,2000,0,0,223,5572,12697,46999,47685,28111,977
Sao Tome and Principe,STP,2010,0,0,16,5483,12035,55604,66441,38459,2334
Sao Tome and Principe,STP,2017,752,1166,3126,15623,21317,72238,60658,29064,3142
Senegal,SEN,1991,12309,9451,26597,136460,189203,726695,1218268,2399581,3036939
Senegal,SEN,1994,4042,6046,17959,106979,179437,943438,2105216,3744347,1353602
Senegal,SEN,2001,12115,7382,44017,188876,322403,1534861,2663445,4246189,1016814
Senegal,SEN,2005,2692,5213,44842,309977,534433,2385690,3253477,3675648,878151
Senegal,SEN,2011,5267,9318,27009,483425,659335,2595771,3911863,4279480,1062346
Senegal,SEN,2018,47407,73472,249723,1531794,2164154,5851312,4456384,1417100,62978
Serbia,SRB,2002,231025,349855,1146134,3626225,1379011,682698,71979,9595,0
Serbia,SRB,2003,207022,252129,891527,3412732,1605582,978122,105016,24679,3782
Serbia,SRB,2004,212673,203911,763764,2939314,1764023,1359254,160761,57533,1924
Serbia,SRB,2005,269936,243775,828250,3159707,1504557,1159424,216506,55019,3595
Serbia,SRB,2006,112535,212663,779806,3632122,1666404,866272,106893,34874,0
Serbia,SRB,2007,125599,184585,803467,3732859,1623658,814016,70134,22343,4918
Serbia,SRB,2008,107359,190194,865895,3803953,1642822,673969,57799,5349,2882
Serbia,SRB,2009,95763,177152,859084,3686355,1679947,716716,95211,10579,0
Serbia,SRB,2010,77338,208117,766864,3544686,1637508,913368,136425,7130,0
Serbia,SRB,2012,233711,309890,896724,2695282,1266918,1064274,347834,198744,185700
Serbia,SRB,2013,80636,186824,752787,3400004,1681557,957991,88179,16154,0
Serbia,SRB,2014,152606,235594,842218,2600669,1290677,1136750,378402,193962,299698
Serbia,SRB,2015,153294,224146,971837,3716967,1383739,584069,56242,3126,1963
Serbia,SRB,2016,176562,272268,902666,2786165,1186781,955799,329427,172965,275689
Serbia,SRB,2017,136887,241538,939737,2999867,1179364,891306,253395,171587,207177
Serbia,SRB,2018,221097,339670,1127564,3476867,1235155,534660,45004,2587,0
Serbia,SRB,2019,127694,290522,1067380,3553000,1168592,653502,81404,3141,0
Seychelles,SYC,1999,5390,6195,14316,31632,12536,7805,1926,586,24
Seychelles,SYC,2006,5319,5557,12537,31453,14745,13070,1604,315,0
Seychelles,SYC,2013,8469,6305,17253,38876,10346,5754,1834,831,281
Seychelles,SYC,2018,8899,10237,28055,34898,8182,5368,629,494,0
Sierra Leone,SLE,1989,2243,3115,10385,86193,158367,549092,590891,739281,2114867
Sierra Leone,SLE,2003,0,0,5898,77226,187139,577920,1162969,2318976,870946
Sierra Leone,SLE,2011,121,58,6203,122389,306649,1359965,2228003,2308508,231342
Sierra Leone,SLE,2018,6774,6337,47318,242449,466426,1963283,2923778,1913001,80783
Slovakia,SVK,1992,39804,92838,663322,3726653,663210,106181,13008,0,0
Slovakia,SVK,1996,80996,161024,819260,3197516,698337,281982,53996,40168,40082
Slovakia,SVK,2004,82192,127484,477135,2730802,1303385,605031,42221,4030,0
Slovakia,SVK,2005,119617,184763,772669,2842053,1044574,364298,39844,4989,0
Slovakia,SVK,2006,163528,251683,935168,3105688,737730,176989,2268,0,0
Slovakia,SVK,2007,166317,252382,967499,3171844,643455,168352,4773,0,0
Slovakia,SVK,2008,163432,258874,1099128,3112904,624790,112754,7351,0,0
Slovakia,SVK,2009,121960,170835,911875,3208523,797991,169389,5833,0,0
Slovakia,SVK,2010,417064,744557,1913976,1860954,269115,123559,35510,12005,14688
Slovakia,SVK,2011,515821,813968,1967026,1721315,220336,113808,23228,9913,12969
Slovakia,SVK,2012,329771,710235,1929788,1958172,235206,186049,36677,12630,9051
Slovakia,SVK,2013,381710,716840,1885369,1930409,275884,157307,50635,4692,10547
Slovakia,SVK,2014,300604,734095,2007212,1861520,254756,160384,63478,14278,22322
Slovakia,SVK,2015,326801,770299,1998912,1832185,263267,166208,30236,21129,14764
Slovakia,SVK,2016,341784,787620,2112731,1766055,191761,116213,39651,9523,65460
Slovakia,SVK,2017,335869,1005140,2133349,1656184,162247,75625,58560,4898,7360
Slovakia,SVK,2018,494492,1093015,2050802,1468544,154499,114585,61604,4692,4538
Slovakia,SVK,2019,513323,1122847,2238998,1305436,165672,79469,21960,5661,781
Slovenia,SVN,1987,731483,558218,541785,153598,3157,972,243,0,320
Slovenia,SVN,1993,163552,224975,588385,900142,97355,15072,1458,243,564
Slovenia,SVN,1997,218837,382013,779559,531980,59249,9721,4597,0,0
Slovenia,SVN,1998,262724,300022,635068,700421,71224,10642,967,242,319
Slovenia,SVN,1999,218212,391580,788424,520466,44542,14919,4902,0,0
Slovenia,SVN,2002,319487,330842,599655,648032,77112,16723,2679,0,0
Slovenia,SVN,2003,331083,327163,541010,670875,108406,17196,0,0,0
Slovenia,SVN,2004,490409,521071,667938,286693,20557,6861,2965,314,204
Slovenia,SVN,2005,556133,525050,633034,257557,18305,6883,1483,981,1048
Slovenia,SVN,2006,619831,539943,594091,230658,15080,5389,863,394,619
Slovenia,SVN,2007,702881,566113,539125,191430,13947,2936,1037,265,388
Slovenia,SVN,2008,769079,570379,509723,158516,11308,2311,0,0,0
Slovenia,SVN,2009,782015,555488,509426,175658,12697,4058,327,0,0
Slovenia,SVN,2010,794671,553434,489279,198027,10545,2439,0,0,188
Slovenia,SVN,2011,766467,575189,497799,195381,12218,5325,464,0,0
Slovenia,SVN,2012,687990,576692,535394,233167,17662,5292,422,540,0
Slovenia,SVN,2013,685287,554602,536685,249208,26301,6826,596,448,0
Slovenia,SVN,2014,716909,578744,513695,232105,15313,4236,978,0,0
Slovenia,SVN,2015,731462,570757,519301,219633,17147,5131,0,100,0
Slovenia,SVN,2016,797982,573154,480508,197853,11268,4277,0,0,0
Slovenia,SVN,2017,835126,588739,457075,173466,9691,2291,0,0,0
Slovenia,SVN,2018,941321,569518,434443,118503,7435,2674,0,0,0
Slovenia,SVN,2019,1017344,559330,386715,117647,4419,2604,326,0,0
Solomon Islands,SLB,2005,450,781,2039,15543,23522,76874,112853,167051,70805
Solomon Islands,SLB,2012,486,639,2290,21117,39495,152714,191607,128386,19332
Somalia,SOM,2017,368,995,5307,62156,138675,1225743,2837559,6685597,3632765
South Africa,ZAF,1993,1107426,749564,1567964,4490937,3557186,7527995,7340428,10489458,2802796
South Africa,ZAF,2000,812841,678444,1500776,4662243,3903548,8507002,8344413,11677675,4880771
South Africa,ZAF,2005,2455138,1344593,1876936,4393324,3429586,9875469,10943495,11148045,2414009
South Africa,ZAF,2008,3434891,1583840,2539856,6168339,5012573,11465629,10284014,8016823,1273507
South Africa,ZAF,2010,3918441,1642681,2717601,6664912,5077262,11756909,10187386,7874211,1377564
South Africa,ZAF,2014,3749369,1722657,2975614,7099654,5386141,11816824,10620592,8729992,2443341
South Asia,,1990,296314,491512,1503865,11918674,24182117,151520141,380590792,510655756,52336023
South Asia,,1991,315984,473011,1386529,11947184,25186630,157930427,394067700,518067758,49280393
South Asia,,1992,336493,473124,1372302,12537450,27007038,170863093,412332402,516690871,42520567
South Asia,,1993,381897,449935,1425323,13143700,28991255,181648927,425823568,517795974,40187195
South Asia,,1994,444862,460023,1602762,13976815,31137841,187062021,440942987,522361627,37704926
South Asia,,1995,533157,535805,1957200,15653551,34200856,201858638,458546440,513837571,34464562
South Asia,,1996,581028,598246,2130544,17390774,36191405,214663870,473886984,509670026,32363326
South Asia,,2002,925137,1099389,3538250,25155875,46844263,255905254,533512913,548609006,27053957
South Asia,,2003,1047783,1186955,3996989,27695513,50540170,268929663,546192658,542988881,25745811
South Asia,,2004,1179334,1300774,4457232,30884984,55129136,288428981,561147924,527338846,23890635
South Asia,,2005,1385522,1416881,5022781,33197285,60058269,308160710,577244966,511132810,21242322
South Asia,,2006,1493850,1488726,5105039,35301492,64553748,324575662,591916324,499288809,19887036
South Asia,,2007,1576201,1662507,5027357,37913197,69781125,345510030,607311872,480885047,18335839
South Asia,,2008,1679486,1614111,5103601,39751911,73830207,362539655,622817881,467697231,16976732
South Asia,,2009,1718399,1749155,5308047,42130193,77567910,380469372,632083028,458693388,15890695
South Asia,,2010,1920475,1981654,6691826,46619221,85109888,418033531,648739361,416875215,12821756
South Asia,,2011,2354967,2550086,8758853,55372864,100560679,471379819,663616969,348748154,8189767
South Asia,,2012,2586541,2720596,9852420,61528971,109311114,497327538,668035037,325138269,7239966
South Asia,,2013,2521070,2728997,10167445,66938176,113983883,507090468,679210918,315266091,7854497
South Asia,,2014,2382411,3049619,10113679,73273860,116925173,516574091,694750932,302061198,8501059
South Asia,,2015,2232377,2920248,11232691,80775891,118272475,532601728,709007721,283664226,8709710
South Asia,,2016,2440983,3148371,12199464,84592887,124380405,556316683,708714656,270432685,8961292
South Asia,,2017,2918459,4235487,15543438,100081264,146979632,596191969,701252825,218718744,6961346
South Asia,,2018,2379896,3959615,16095057,120784202,176029882,667508340,645964697,175906981,5826348
South Asia,,2019,4154927,5751331,20256396,121369533,176052235,736253983,615656159,152639955,3642250
South Korea,KOR,2006,15260452,10292699,12107983,8481641,1329341,603190,242160,0,120826
South Korea,KOR,2008,16433839,10179368,11897695,8341424,1350286,488364,244647,0,119085
South Korea,KOR,2010,17221327,10163833,12259646,7681581,1122631,734476,124879,124795,120944
South Korea,KOR,2012,19715462,10407392,11177449,6895225,1126677,501749,250760,125139,0
South Korea,KOR,2014,21315251,11163424,10408904,6211954,895627,498663,133255,0,119581
South Korea,KOR,2016,23058033,10491281,10500155,5760909,778438,374721,138173,116093,0
South Sudan,SSD,2009,13842,17258,78520,669481,881357,2303938,2019975,2079301,1078586
South Sudan,SSD,2016,3673,1757,11350,112847,233318,1104382,2071954,4140978,3152261
Spain,ESP,1980,3093078,3468284,8623007,15559167,4030778,2064136,466411,98736,87568
Spain,ESP,1985,3081997,3268995,8270296,16740718,4326817,2318718,370677,91294,0
Spain,ESP,1990,5738613,5826050,11271221,12924302,1943629,886786,84551,96104,96066
Spain,ESP,1995,10132673,6754892,10126455,9344821,1587804,1082947,199961,204181,290316
Spain,ESP,2000,15622332,7605110,9745107,6083920,801881,413319,98475,97821,99899
Spain,ESP,2003,15700576,8822170,9398626,6559727,758124,454474,152755,97699,243494
Spain,ESP,2004,16057480,8353028,9614055,6910127,943830,497927,194496,103038,247914
Spain,ESP,2005,17327739,8774164,9523180,6161652,752354,654876,137041,74272,247877
Spain,ESP,2006,17456979,9128088,9372908,6274079,1003709,661943,157917,63763,277933
Spain,ESP,2007,23000964,8317546,7818695,4624990,748712,397156,154548,38743,125449
Spain,ESP,2008,23996605,8218617,7527342,4676893,640021,495818,174132,43723,180955
Spain,ESP,2009,24048815,8273616,7406172,4770072,783949,576479,130343,93058,280442
Spain,ESP,2010,22089467,8547311,8459754,5442899,783388,760899,178447,67491,247241
Spain,ESP,2011,21336715,8279665,8745780,5749600,1213661,650067,240265,127099,399845
Spain,ESP,2012,19752404,8921173,8926000,6370224,1229566,849997,285618,173352,264721
Spain,ESP,2013,19333722,8159133,8732647,7293900,1331865,985708,253325,165606,364139
Spain,ESP,2014,19356998,8397936,8672460,6588549,1907925,880141,310995,138542,227336
Spain,ESP,2015,19974209,8342187,8657610,6528200,1332410,932313,258261,122886,296756
Spain,ESP,2016,21356672,8473005,7919063,5785493,1314167,854532,258054,188942,334134
Spain,ESP,2017,21701889,8799747,7890053,5904774,1140742,647057,193029,63577,252368
Spain,ESP,2018,21805271,8779623,8073641,5875382,1007038,679194,185152,147586,244867
Spain,ESP,2019,23749739,8356972,7645910,5186133,887329,765443,167843,100270,273882
Sri Lanka,LKA,1985,162,20663,91964,643596,1247265,5791743,5639014,2660300,81575
Sri Lanka,LKA,1990,26796,25988,87766,756974,1314682,6463120,6637814,1982635,29994
Sri Lanka,LKA,1995,29812,40660,185969,1120719,1812648,6376583,6528373,2103941,44212
Sri Lanka,LKA,2002,103098,95456,309952,1696621,2222332,6598527,5936361,2060697,39432
Sri Lanka,LKA,2006,133862,142754,370064,2422575,2966548,7794346,4757070,1100401,8357
Sri Lanka,LKA,2009,96482,129730,361719,2516155,3456460,8777222,4082331,697455,5954
Sri Lanka,LKA,2012,188490,189837,556958,3074649,3862286,8523754,3500601,523468,4957
Sri Lanka,LKA,2016,308417,254796,764228,3971524,4718574,8249138,2661677,274186,460
Sub-Saharan Africa,,1990,2228549,1683458,4240180,19725866,25002188,79099164,105983635,169143778,102345057
Sub-Saharan Africa,,1991,2167529,1643840,4209101,19447593,24471041,77990016,104631109,176626199,112540532
Sub-Saharan Africa,,1992,2017101,1530387,3934122,18631384,23872507,77548501,105460530,183195923,122055984
Sub-Saharan Africa,,1993,1903325,1449760,3542367,16996408,22383185,77060460,108692144,191203560,129789176
Sub-Saharan Africa,,1994,2021930,1494304,3649651,17079990,22558283,77726547,110270909,194183240,139087216
Sub-Saharan Africa,,1995,2165430,1637445,4079265,18241678,23411794,80573017,115154063,198218529,139932066
Sub-Saharan Africa,,1996,2406676,1691743,4571352,19778819,24917654,83555240,120578204,202971486,138596600
Sub-Saharan Africa,,1997,2396299,1684504,4630142,20278298,25717729,85572136,126200282,207975946,140599005
Sub-Saharan Africa,,1998,2284758,1649100,4516435,20484855,26005202,87653295,132191176,215229492,141386390
Sub-Saharan Africa,,1999,2160585,1629221,4438541,20279228,26214563,89940323,138611051,221447050,143427776
Sub-Saharan Africa,,2000,2105713,1598330,4426379,20597956,26871007,93770824,144820722,222837433,148299224
Sub-Saharan Africa,,2001,2099817,1611065,4449116,20997364,27752260,98690195,151662934,229629720,146063552
Sub-Saharan Africa,,2002,2365777,1758901,4652715,21632624,28855049,103181273,160008637,239463584,139147637
Sub-Saharan Africa,,2003,2544953,1785624,4618686,21371849,29464821,109178869,170155849,246854401,133741113
Sub-Saharan Africa,,2004,2938385,2051202,4872183,22490221,31716245,121204136,181548131,245855143,126307601
Sub-Saharan Africa,,2005,3574053,2336513,4914356,23777678,33979763,131167036,189585615,247711957,121877693
Sub-Saharan Africa,,2006,4097494,2426008,5305070,25716181,36941762,139566503,196459268,251771715,117282845
Sub-Saharan Africa,,2007,4275002,2575365,5613314,27760584,39767749,147274097,204865619,257032501,111744336
Sub-Saharan Africa,,2008,4478834,2661484,5948779,30074004,43006311,155708708,214843577,261947011,104276782
Sub-Saharan Africa,,2009,4521257,2742370,5973914,31027067,44825913,162120564,222362291,265489355,106592478
Sub-Saharan Africa,,2010,5041816,2829219,6466767,33729500,48431030,173276938,233155442,267840975,98253428
Sub-Saharan Africa,,2011,5121181,2920007,6675822,35633737,51393630,182918858,242894448,271716115,93772065
Sub-Saharan Africa,,2012,5130243,2986648,7033213,37182983,53715797,190406627,251810195,276133701,93326473
Sub-Saharan Africa,,2013,5224248,3055920,7475138,39610573,57036475,200762365,260315816,278075037,91483902
Sub-Saharan Africa,,2014,5281317,3152831,8041941,42695138,61162639,212276785,267607091,279718256,89022354
Sub-Saharan Africa,,2015,5243452,3188143,8255607,43852545,63576629,218603332,274467273,288163424,90108093
Sub-Saharan Africa,,2016,5329553,3293299,8540819,45554420,65905822,228502367,281599368,292519188,91285409
Sub-Saharan Africa,,2017,5438796,3443425,9107582,48251841,68896132,242310191,287410946,293534191,91769706
Sub-Saharan Africa,,2018,5623666,3716300,9694988,51226467,72457336,255578833,295173422,293995469,90853031
Sub-Saharan Africa,,2019,5745469,3903244,10252743,53783790,75520118,266710374,302038625,297334842,91668665
Sudan,SDN,2009,18079,42413,147934,1920188,3680176,11835575,9863682,5438670,837062
Sudan,SDN,2014,59469,82875,124454,1717139,3252822,13857277,13087068,5466204,330349
Suriname - urban,,1999,15316,12399,30632,61083,52148,50689,29721,16593,40296
Sweden,SWE,1967,354774,708879,1672642,3558386,609487,237309,97149,81202,548103
Sweden,SWE,1975,1392951,1496095,2949004,2170239,102443,40826,0,20970,19909
Sweden,SWE,1981,1560852,1893662,3077296,1559964,125333,61888,20733,0,20775
Sweden,SWE,1987,1934722,1907557,3193821,1193869,105209,41946,0,20680,0
Sweden,SWE,1992,3099386,2146158,2494233,776713,64986,65483,0,21108,0
Sweden,SWE,1995,2802873,2184425,2582688,1014391,110271,88157,22309,0,21825
Sweden,SWE,2000,3504606,2284885,2195653,776146,67146,43673,0,0,0
Sweden,SWE,2003,3715886,2333944,2032367,728302,59425,40236,19070,8908,20091
Sweden,SWE,2004,3792656,2324248,2074247,660176,51516,36281,18687,5542,30178
Sweden,SWE,2005,3989429,2295350,1843371,679873,57013,46083,20520,28332,69601
Sweden,SWE,2006,4397869,2285811,1699647,554477,50189,45779,13645,11608,21480
Sweden,SWE,2007,4871212,2194359,1393078,564632,47025,25379,14823,6972,30612
Sweden,SWE,2008,5111710,2129796,1248714,582166,51015,22477,20617,13904,39238
Sweden,SWE,2009,5361358,1969004,1246719,566055,52519,30932,29339,11512,31077
Sweden,SWE,2010,5469069,1991608,1204654,550333,38918,52854,19353,17007,34330
Sweden,SWE,2011,5691967,1929353,1109335,539516,49955,53098,17815,25088,33086
Sweden,SWE,2012,5896335,1889984,1024218,537129,61378,54251,12575,13010,30494
Sweden,SWE,2013,6069063,1755606,1042107,537849,73727,45181,14360,12654,49832
Sweden,SWE,2014,6274155,1776313,1016046,478903,42682,41212,20807,10305,35687
Sweden,SWE,2015,6546824,1668879,947782,469529,55283,29474,25642,26121,29652
Sweden,SWE,2016,6729069,1562524,1009138,453803,74420,46891,21296,5515,20429
Sweden,SWE,2017,6851764,1648676,905125,536451,38759,44135,7810,13415,11563
Sweden,SWE,2018,6920280,1615109,890606,531991,72600,50034,20772,9496,64326
Sweden,SWE,2019,7233047,1480337,923545,500845,46063,50420,12095,8954,23581
Switzerland,CHE,1982,4683114,1037268,497049,110523,0,18782,0,12978,31595
Switzerland,CHE,1992,5053815,1031439,498535,189385,18497,33780,15910,0,34003
Switzerland,CHE,2000,5228072,1096356,609786,178235,38722,15773,17306,0,0
Switzerland,CHE,2002,5500461,1058014,583048,107310,18041,17879,0,0,0
Switzerland,CHE,2006,5541780,1078445,590312,216043,24259,21824,7786,0,3485
Switzerland,CHE,2007,5739765,975740,579116,190181,37388,22502,4853,708,864
Switzerland,CHE,2008,5839010,988988,610103,155014,34990,8413,5920,1813,3424
Switzerland,CHE,2009,6031004,991048,513981,162128,27994,8049,6680,2947,0
Switzerland,CHE,2010,6147779,916458,550013,156742,24125,21201,4783,2334,1474
Switzerland,CHE,2011,6313394,899448,499653,177051,15971,6049,586,0,246
Switzerland,CHE,2012,6493290,932365,443805,112575,12578,1531,0,717,0
Switzerland,CHE,2013,6445295,980958,524539,124923,7636,2099,484,3412,0
Switzerland,CHE,2014,6599565,879172,555384,142713,1912,7220,0,2683,0
Switzerland,CHE,2015,6667479,906292,506163,193394,4676,1862,0,1835,695
Switzerland,CHE,2016,6788247,870985,493581,197677,11765,6829,1384,0,2870
Switzerland,CHE,2017,6855397,911650,450660,209605,19146,3537,1845,0,0
Switzerland,CHE,2018,6757475,981054,537228,206646,17359,11197,773,1033,1564
Syria,SYR,1996,70782,96892,307466,2163279,2944883,6323548,2483067,357684,6547
Syria,SYR,2003,208324,240884,727276,3845806,3865402,6452320,1883962,189431,1809
Taiwan,TWN,1981,631086,902068,2839123,9240010,3245902,1128177,42870,0,0
Taiwan,TWN,1986,1554227,1842761,5144585,9122746,1456357,242836,47696,0,0
Taiwan,TWN,1991,6253835,4356976,6048376,3639158,154059,50909,0,0,0
Taiwan,TWN,1995,8929655,4571035,5100793,2232639,211521,106359,0,53483,52554
Taiwan,TWN,1997,9990603,4592690,4858545,2050843,55199,52271,0,0,0
Taiwan,TWN,2000,10976123,4823825,4544507,1718036,54845,55193,0,0,0
Taiwan,TWN,2005,11077724,4829133,4772707,1873387,112939,56669,0,0,0
Taiwan,TWN,2007,10249311,4809971,5266535,2404406,114495,57179,0,0,0
Taiwan,TWN,2010,9256729,4686875,5492925,3239539,289373,117175,0,55765,0
Taiwan,TWN,2013,9455006,5077075,5545094,2917955,233646,57260,58177,0,0
Taiwan,TWN,2016,10932069,5113534,5114989,2172401,117144,0,58225,0,0
Tajikistan,TJK,1999,0,0,1307,6536,42704,535536,1741690,3069419,722472
Tajikistan,TJK,2003,0,0,12735,100197,227556,1442883,2354175,2181064,222940
Tajikistan,TJK,2004,806,1748,25248,263012,531197,2172896,2244520,1328359,94605
Tajikistan,TJK,2007,15563,7830,20295,260140,753773,2991654,2109569,662489,241354
Tajikistan,TJK,2009,6170,12531,51604,568453,1108116,3264713,1852943,480746,19476
Tajikistan,TJK,2015,11022,31316,144619,1056700,1599076,3437544,1656819,482111,34812
Tanzania,TZA,1991,534,1381,3320,95383,334569,2312752,5254340,13024572,5029754
Tanzania,TZA,2000,834,472,3187,62580,120551,1323312,3837097,13168287,14982857
Tanzania,TZA,2007,16461,31639,83824,697255,1092851,5577698,10302170,17028892,5850626
Tanzania,TZA,2011,29485,37725,142994,960593,1716407,7744835,14645759,18130841,2264881
Tanzania,TZA,2018,52534,76974,277785,1526325,2421263,10096290,16549761,22372025,2940487
Thailand,THA,1981,319871,304952,867443,4338377,5321384,13964601,12225925,10436265,547451
Thailand,THA,1988,403942,345729,988196,5019543,6290614,16982139,14954325,9907032,0
Thailand,THA,1990,517195,499951,1502389,6516612,6487447,17822873,16229614,6713817,268298
Thailand,THA,1992,976847,836543,2181346,8019563,7555572,18373968,14667080,5074782,125324
Thailand,THA,1994,842917,749972,2044870,9765159,9891684,20999822,11929117,2621039,30695
